KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection
aliada-scanbit-net,aliada-scanbit-net,http://aliada.scanbit.net:8891/sparql,[],False,1,0.0,1,0.5555555555555556,0,1,0,1,Check manually,1,1,1,"['api/sparql', 'application/x-ntriples', 'application/x-ntriples', 'meta/void', 'meta/rdf-schema']",0,0,0,0,1
amsterdam-museum-as-edm-lod,Amsterdam Museum as Linked Open Data in the Europeana Data Model,http://data.dive.beeldengeluid.nl/sparql/,[],False,1,0.0,1,0.6666666666666666,0,1,1,1,Check manually,1,1,1,"['api/sparql', 'api/git', 'HTML']",0,0,0,0,1
ASCDC-_NTM-Formosan-Aborigines,The National Taiwan Museum's Formosan Aborigines Collections Digitizing Project (NTM-Formosan-Aborigines),https://data.ascdc.tw/en/sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html; charset=UTF-8', 'text/html; charset=UTF-8', 'text/html', 'XML, JSON, TTL, CSV.', 'ttl']",0,0,0,0,1
ASCDC-AS-NTUE-School-Art-Textbooks,Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks),https://data.ascdc.tw/en/sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html', 'XML, JSON, TTL, CSV.', 'ttl']",0,0,0,0,1
ASCDC-AS-TFD-Fish-Species,Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species),https://data.ascdc.tw/en/sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html; charset=UTF-8', 'text/html; charset=UTF-8', 'text/html', 'XML, JSON, TTL, CSV.', 'ttl']",0,0,0,0,1
ASCDC-CRB,Database of Chinese Rare Books (CRB),https://data.ascdc.tw/en/sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html; charset=UTF-8', 'text/html; charset=UTF-8', 'text/html; charset=UTF-8', 'text/html', 'XML, JSON, TTL, CSV.', 'ttl']",0,0,0,0,1
ASCDC-CTS-TV-Programs,The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs),https://data.ascdc.tw/en/sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html; charset=UTF-8', 'text/html; charset=UTF-8', 'text/html', 'XML, JSON, TTL, CSV.', 'ttl']",0,0,0,0,1
ASCDC-DQOT,Database of Qing Official Titles (DQOT),https://data.ascdc.tw/en/sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html; charset=UTF-8', 'text/html; charset=UTF-8', 'text/html', 'XML, JSON, TTL, CSV.', 'ttl']",0,0,0,0,1
ASCDC-IHP-WCD,Database of the Han Wooden Slips Character Dictionary (WCD),https://data.ascdc.tw/en/sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html; charset=UTF-8', 'text/html; charset=UTF-8', 'text/html', 'XML, JSON, TTL, CSV.', 'ttl']",0,0,0,0,1
ASCDC-Linked-Taiwan-Artists,Linked Taiwan Artists (LTA),https://linkedart.ascdc.tw/live_sparql.php,[],False,1,0.0,1,0.4444444444444444,0,1,0,1,0.5,1,1,1,"['text/html', 'XML, JSON, TTL, CSV.', 'OWL', 'JSON']",0,0,0,0,1
