KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
hungarian-national-library-catalog,Hungarian National Library (NSZL) catalog,,[],False,1,0.0,1,0.56,0,1,0.59,0,1,1.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.59
deutsche-biographie,Deutsche Biographie,http://ndb.publink.lod2.eu/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.86
culturalinkeddata,CulturaLinkedData,http://cultura.linkeddata.es/sparql,[],False,1,0.0,1,0.44,0,1,0.57,1,1,0.5,1,0.88,1,0,0.0,0,0.25,1,1,1,0,0.75,2.45
dutch-ships-and-sailors,Dutch Ships and Sailors,http://semanticweb.cs.vu.nl/dss/sparql/,[],False,1,0.0,1,0.56,0,1,0.59,0,1,1.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.59
geographic-names-information-system-gnis,Geographic Names Information System (GNIS),http://usgs-stko.geog.ucsb.edu:8080/sparql/select,[],False,1,0.0,1,0.56,0,1,0.59,0,1,1.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.59
nomisma_org,Nomisma.org ,http://nomisma.org/query,"['http://nomisma.org/nomisma.org.rdf', 'http://nomisma.org/nomisma.org.ttl', 'http://nomisma.org/nomisma.org.jsonld']",False,1,0.0,1,0.67,0,1,0.61,1,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.86
rism,Répertoire International des Sources Musicales - RISM,http://data.rism.info/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.86
the-european-library-open-dataset,The European Library Open Dataset,,[],False,1,0.0,1,0.67,0,1,0.61,1,1,0.5,1,0.88,1,1,0.0,1,0.75,1,1,1,1,1.0,3.24
zbw-pressemappe20,20th Century Press Archives,,[],False,1,0.0002,1,0.56,0,1,0.59,1,1,0.5,1,0.88,1,0,0.0,1,0.5,1,1,1,0,0.75,2.72
pali-english-lexicon,Pali English Lexicon,http://api.kasabi.com/dataset/pali-english-lexicon/apis/sparql,[],False,1,0.0,1,0.56,0,1,0.59,1,1,1.0,1,1.0,1,0,0.0,0,0.25,1,1,1,0,0.75,2.59
data-incubator-discogs,Discogs in RDF,,[],False,1,0.0,1,0.56,0,1,0.59,1,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.84
dbtropes,DBTropes,,[],False,1,0.0,1,0.56,0,1,0.59,1,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.84
data-incubator-moseley,Moseley Folk Festival Data,http://api.talis.com/stores/moseley/services/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.86
enslaved.org,Enslaved.org,,['https://manta.matrix.msu.edu/msumatrix/public/exports/wikibase/2bde7b5b/latest.wikibase.dump.rdf.gz'],False,1,0.0,1,0.44,0,1,0.57,1,1,1.0,1,1.0,1,0,0.0,0,0.25,1,1,1,0,0.75,2.57
gutenberg,Project Gutenberg,,[],False,1,0.0,1,0.56,0,1,0.59,1,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.84
dm2e,DM2E,,[],False,1,0.0,1,0.44,0,1,0.57,0,1,1.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.57
