_id,url,title,description,keywords,Final_decision_previous_stage,GAB - Decision after inspection of the dataset,GAB - Source that guided the decision,MAR - Decision after inspection of the dataset,MAR - Source that guided the decision,Comments,3rd reviewer comment,New link for the resource,New SPARQL URL,New RDF Dump,No LD,Only ontology?
hungarian-national-library-catalog,https://lod-cloud.net/dataset/hungarian-national-library-catalog,Hungarian National Library (NSZL) catalog,OPAC and Digital Library and the corresponding authority data as Linked Open Data.    The used vocabularies are        * RDFDC for bibliographic data       * FOAF for name authority entries  and      * SKOS for subject terms and geographical names.       * BIBO for bibliographic terms      NSZL uses CoolURIs. Every resource has both RDF and HTML representation.    RDFDC  FAOF and SKOS statements are linked together. The name authority is matched with the DBPedia name files  and URI aliases are handled as owl:sameAs statements. The name authority dataset also contains links to Virtual International Authority File (VIAF) and VIAF links back to NSZL's data.    NSZL also supports the HTML link auto-discovery.,bibliographic; broken_link; catalog; format-bibo; format-dbpedia; format-dc; format-foaf; format-rdf; format-skos; format-xhtml; library; linkeddata; lld; lod; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; publications; published-by-producer; rdf; sparql; tangible,cultural heritage,ch no working links,from google search: http://setaria.oszk.hu/sparql,ch no working links,https://oszk.hu/en googling it. sparql endpoint available but not working,,,https://oszk.hu/en,http://setaria.oszk.hu/sparql,,,
deutsche-biographie,https://lod-cloud.net/dataset/deutsche-biographie,Deutsche Biographie,Presents some of the results of the LOD2 PUBLINK activity in cooperation with the AKSW group and the group of the Neue Deutsche Biographie of the Historical Commission at the Bavarian Academy of Sciences and Humanities. Within this project meta-data about 46 000 biographies and related 42 000 additional people and 12 000 locations has been made available as Linked Data and RDF triple. We used the vocabulary of the German National Library for the GND and adapted it by a few additional classes and relations. In addition to the representation in RDF  we offer a OntoWiki instance to provide the ability for browsing an querying the dataset. With the help of the Relationshipfinder tool relations between two or more persons  may visualized using this SPARQL endpoint.,format-rdf; lod; lod2; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-deref-vocab; publications; published-by-third-party; tangible,cultural heritage,cultural heritage,new links founded from a google search: https://data.deutsche-biographie.de/about/#sparql,cultural heritage,,,,,https://data.deutsche-biographie.de/about/#sparql,,,
culturalinkeddata,https://lod-cloud.net/dataset/culturalinkeddata,CulturaLinkedData,The Spanish National Library (Biblioteca Nacional de España  BNE) and the Ontology Engineering Group of Universidad Politécnica de Madrid are working on the joint project “Preliminary Study of Linked Data”  whose aim is to enrich the Web of Data with the BNE authority and bibliographic records. To this end  they are transforming the BNE information to RDF following the Linked Data principles proposed by Tim Berners Lee.,deref-vocab; lod; lodcloud.nolinks; lodcloud.unconnected; media; published-by-third-party; spanish-national-library; tangible,cultural heritage,cultural heritage,correct link: https://datos.bne.es/sparql,cultural heritage,no working links. correct link: https://datos.bne.es/sparql,,,,https://datos.bne.es/sparql,,,
dutch-ships-and-sailors,https://lod-cloud.net/dataset/dutch-ships-and-sailors,Dutch Ships and Sailors,Dutch Ships and Sailors brings together four Dutch maritime historical datasets. The datasets are modeled as Linked Data  with internal and external links and a schema mapping to a common DSS schema. The four RDF datasets are:    1. The Northern Monsterrollen databases  which contain elaborate data on the crew composition of ships from the Northern Netherlands (c. 1800-1930) and provide information on the sailors involved such as the places of origin  wage and age.  2. The VOC Opvarenden database  providing extensive data on crews of VOC ships leaving the Dutch Republic.  3. The Dutch-Asiatic Shipping (DAS) database  providing data on all inter-continental voyages of VOC ships.  4. The Generale Zeemonsterrollen (GZM) database  providing data on the crew composition and sometimes location of VOC ships stationed in Asia and not engaged in inter-continental shipping.,digital history; dutch; e-history; economic-history; history; lod; lodcloud-diagram-2014-08-30; maritime; nederlands; publications; sailors; ships; tangible,cultural heritage,cultural heritage,,cultural heritage,https://github.com/biktorrr/dss googling it + working sparql endpoint https://dutchshipsandsailors.nl/?page_id=50 ,,,,https://dutchshipsandsailors.nl/?page_id=50,https://github.com/biktorrr/dss,,
geographic-names-information-system-gnis,https://lod-cloud.net/dataset/geographic-names-information-system-gnis,Geographic Names Information System (GNIS),The GNIS contains information about physical and cultural geographic features in the United States and associated areas  both current and historical (not including roads and highways). The database holds the Federally recognized name of each feature and defines the location of the feature by state  county  USGS topographic map  and geographic coordinates.,geographic; geography; geology; gnis; semantic web; usgs; natural,cultural heritage,cultural heritage,New link from google: https://gnis-ld.org/,cultural heritage,"https://gnis-ld.org/ googling it. The GNIS contains information about physical and cultural geographic features of all types in the United States, associated areas, and Antarctica, current and historical, but not including roads and highways.  working sparql endpoint at: https://gnis-ld.org/queries",,,https://gnis-ld.org/ ,https://gnis-ld.org/queries,,,
nomisma_org,https://lod-cloud.net/dataset/nomisma_org,Nomisma.org,Nomisma.org is an international collaborative project to define the intellectual concepts of numismatics following the principles of Linked Open Data,numismatics; tangible,cultural heritage,cultural heritage,,cultural heritage,https://nomisma.org/sparql/,,,,,,,
rism,https://lod-cloud.net/dataset/rism,Répertoire International des Sources Musicales - RISM,Répertoire International des Sources Musicales (RISM) is an international  non-profit organization with the aim of comprehensively documenting extant musical sources anywhere in the world.     The dataset offered here contains over 870 000 records  mostly for music manuscripts. These records hand down the works of some 27 000 composers  whose sources are preserved in the libraries and archives of 36 countries.,bibliographic; format-bibo; format-dc; format-dcterms; library; license-metadata; lld; lod; music; music-encoding; rdf; intangible,cultural heritage,cultural heritage,Updated SPARQL endpoint link: https://opac.rism.info/sparql-endpoint,cultural heritage,https://rism.info/ googling it. https://opac.rism.info/index.php?id=8&L=1&id=8 ,,,https://opac.rism.info/index.php?id=8&L=1&id=8,,,,
the-european-library-open-dataset0000018aeec2aa8f,https://lod-cloud.net/dataset/the-european-library-open-dataset,The European Library Open Dataset,The dataset is derived from the data aggregated by The European Library. It is comprised of all the aggregated data that is made openly available by the data providing libraries (European national and research libraries). The dataset includes national bibliographies  library catalogues  and research collections including both digital and physical resources. The data is made available under open licensing terms  which allow the unrestricted use of the data for any purpose by anyone  including commercial use.,bibliographic data; crossdomain; format-dcterms; format-dctypes; format-foaf; format-frbr; format-owl; format-rda; format-schema; format-skos; format-wgs; license-metadata; lod; no-proprietary-vocab; provenance-metadata; publications; published-by-third-party; tangible,cultural heritage,cultural heritage,part of the europeana KG: https://pro.europeana.eu/post/europeana-sparql-endpoint,cultural heritage,,,,https://pro.europeana.eu/post/europeana-sparql-endpoint,https://sparql.europeana.eu/,,,
zbw-pressemappe20,https://lod-cloud.net/dataset/zbw-pressemappe20,20th Century Press Archives,During the entire 20th century  the press archives now held at the German National Library of Economics (ZBW) - Leibniz Information Centre for Economics  have compiled more than 30 million documents  mostly press clippings about individual persons  companies and other corporate bodies  products and a wide variety of economics-related topics. The first articles go back to the 19th century; the last were selected and indexed in 2005. These holdings provide a unique basis from which to study German and international (economic) history of the 20th century from a German perspective.    The historic press archives of the Hamburgisches Welt-Wirtschafts-Archiv (Institute of International Economics) and the Wirtschaftsarchiv des Instituts für Weltwirtschaft in Kiel (Economic Archives of the Kiel Institute for the World Economy) for the years until the currency reform of 1948 or rather the founding of the Federal Republic in 1949 were digitised during a project funded by the German Research Foundation (DFG). The digitised material  sourced mostly from roll film  is being gradually prepared for publication.    At present  we can provide online access to 250 000 documents relating to persons and companies.     Licensing information can be found at http://webopac0.hwwa.de/digiview/digi_eigenesache.html (currently only in German - sorry).,biographical; companies; deref-vocab; economics; format-dc; format-ore; format-skos; germany; history; lld; lod; no-license-metadata; persons; provenance-metadata; publications; published-by-producer; vocab-mappings; intangible,cultural heritage,cultural heritage,SPARQL endpoint link fouded here with Google: https://zbw.eu/beta/sparql-lab/?endpoint=http://zbw.eu/beta/sparql/pm20/query&queryRef=https://api.github.com/repos/jneubert/sparql-queries/contents/pm20/search_folders_by_text.rq,cultural heritage,https://zbw.eu/labs/en/project/p20.html,,,https://zbw.eu/labs/en/project/p20.html,https://zbw.eu/beta/sparql/pm20/query,,,
pali-english-lexicon,https://lod-cloud.net/dataset/pali-english-lexicon,Pali English Lexicon,A lexicon from Pali to English.,culturalheritage; deref-vocab; format-owl; format-rdf; format-rdfs; geographic; license-metadata; llod; lod; lodcloud.nolinks; lodcloud.unconnected; provenance-metadata; published-by-third-party; intangible,cultural heritage,cultural heritage,,cultural heritage,"pure linguistic. should it be considered CH as LILA as Pali is a classical and liturgical language of the Theravāda Buddhist canon, a Middle Indo-Aryan language of north Indian origin? 

https://www.dpdict.net/ , https://dictionary.sutta.org/ googling it",,"CH, driven by the similarity to the lila project",https://www.dpdict.net/,, https://dictionary.sutta.org/ ,,
