,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
376,God_,https://lod-cloud.net/dataset/God_,1121,alles,,not classified,"unclear from TITLE-ABS-KEYWORD
empty and inaccessible - a single url is provided and it fails",empty and inaccessible,,
655,11000001930e9ef001,https://lod-cloud.net/dataset/11,113322,SkinPhoniqa,God,not classified,"unclear from TITLE-ABS-KEYWORD
working link, unclear the content",,,
862,rainis-and-aspazija-linked-digital-collection,https://lod-cloud.net/dataset/rainis-and-aspazija-linked-digital-collection,"""Rainis and Aspazija"" Linked Digital Collection","Linked Digital Collection ""Rainis and Aspazija"" created by the National Library of Latvia.    It is a cultural heritage collection (containing information about two famous Latvian cultural personalities - Rainis and Aspazija) that emphasizes links between collection objects. A subset of objects are transcribed and annotated with mentions of named entities  adding these entities as new collection objects.    The collection is published as Linked Data. See dataset resources for further information about it.    Publication: http://ceur-ws.org/Vol-1608/paper-04.pdf",Aspazija; Latvia; Rainis; culturalheritage; library; literature; lld; lod; publications,cultural heritage,from the description: CH collection curated by the National Library of Latvia,,,
349,freebase,https://lod-cloud.net/dataset/freebase,1989shack Inc. E-Commerce,"""Freebase is an open database of the world?s information. It is built by the community and for the community?free for anyone to query  contribute to  built applications on top of  or integrate into their websites.""  ### Openness: OPEN    * License: CC-BY for data.  Variety of open source licenses (or PD) for text blurbs & images.   * Access: API + bulk.<http://www.freebase.com/view/allDomains>     * bulk: yes. <http://download.freebase.com/>     * api: yes. <http://www.freebase.com/view/freebase/api>  Triple count and link statistics provided by Freebase contributor Tom Morris  ### RDF data and URIs  Freebase has [an RDF service](http://rdf.freebase.com/) that exposes URIs and generates RDF descriptions for all Freebase topics.",access-api; access-bulk; access-www; broken_link; crossdomain; deref-vocab; encylopaedia; format-dcterms; format-rdf; license-metadata; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-vocab-mappings; provenance-metadata; published-by-producer; rdf; size-large,general purpose,from the description,inaccessible resource,,
815,2000-us-census-rdf,https://lod-cloud.net/dataset/2000-us-census-rdf,2000 U.S. Census in RDF (rdfabout.com),2000 U.S. Census converted into over a billion RDF triples.    Population statistics at various geographic levels  from the U.S. as a whole  down through states  counties  sub-counties (roughly  cities and incorporated towns)    Notes: also found in the of SPARQL Endpoints.    From home page:    > * For the detailed Census statistics  you'll have to download the raw Census data files from the Census Bureau  my Perl script and the patch file below and run it yourself because the files are too big for me to offer as a download!  >   > * The data and scripts can be reused under Creative Commons Attribution-NonCommercial-ShareAlike.,census; data; demographics; deref-vocab; format-dc; format-geonames; format-politico; format-rdf; geographic; linkeddata; lod; lodcloud-diagram-2007-05-01; lodcloud-diagram-2011-09-19; lodcloud.nolinks; no-license-metadata; no-provenance-metadata; no-vocab-mappings; population; published-by-third-party; rdf; statistics; us,"not classified - geography, government",,demographic census,,
1498,2001-spanish-census-to-rdf,https://lod-cloud.net/dataset/2001-spanish-census-to-rdf,2001 Spanish Census to RDF,This site offers information of the conversion process of a 5% sampling of the 2001 Spanish census from a plain useless format to RDF  a semantic representation supported by different products  services and protocols.,census; government; linked-open-data; lod; rdf; sparql-endpoint,"not classified - geography, government",,,,
1388,congresspeople,https://lod-cloud.net/dataset/congresspeople,2011 US Congress People,The 2011 US congress people data  with ntriples format. Could benefit from connections to http://thedatahub.org/dataset/congresspedia,format-con; format-conv; format-dbo; format-dbp; format-dc; format-doap; format-foaf; format-ov; format-owl; format-pmlj; format-pmlp; format-rdf; format-rdfs; format-scovo; format-vann; format-void; government,not classified,"unclear from TITLE-ABS-KEYWORD
empty and inaccessible - a single url is provided and it fails + seems a to-be-paid resource",,,
574,zbw-pressemappe20,https://lod-cloud.net/dataset/zbw-pressemappe20,20th Century Press Archives,During the entire 20th century  the press archives now held at the German National Library of Economics (ZBW) - Leibniz Information Centre for Economics  have compiled more than 30 million documents  mostly press clippings about individual persons  companies and other corporate bodies  products and a wide variety of economics-related topics. The first articles go back to the 19th century; the last were selected and indexed in 2005. These holdings provide a unique basis from which to study German and international (economic) history of the 20th century from a German perspective.    The historic press archives of the Hamburgisches Welt-Wirtschafts-Archiv (Institute of International Economics) and the Wirtschaftsarchiv des Instituts für Weltwirtschaft in Kiel (Economic Archives of the Kiel Institute for the World Economy) for the years until the currency reform of 1948 or rather the founding of the Federal Republic in 1949 were digitised during a project funded by the German Research Foundation (DFG). The digitised material  sourced mostly from roll film  is being gradually prepared for publication.    At present  we can provide online access to 250 000 documents relating to persons and companies.     Licensing information can be found at http://webopac0.hwwa.de/digiview/digi_eigenesache.html (currently only in German - sorry).,biographical; companies; deref-vocab; economics; format-dc; format-ore; format-skos; germany; history; lld; lod; no-license-metadata; persons; provenance-metadata; publications; published-by-producer; vocab-mappings,cultural heritage,"from the title: press, confirmed by the description",,,
1188,IHE,https://lod-cloud.net/dataset/IHE,3LGM² IHE Ontology,IHE Concepts extracted from IHE Technical Frameworks published by IHE International (https://www.ihe.net/ihe_domains/  https://profiles.ihe.net/),IHE; 3LGM²,health,"Doubt - IHE stands for Integrating the Healthcare Enterprise?

Confirmed by the website","I got it from the webite, unclear from the description",,
841,lremap-auth,https://lod-cloud.net/dataset/lremap-auth,A collection of Authors for LREC2014 and related Workshops,A collection of Authors for LREC2014 and related Workshops,LOD; Linguistic Dataset LOD RDF; linguistic,papers,"Warning: why three different resources for the same topic: ""lremap-auth"", ""a-collection-of-papers-for-lrec2014-and-related-workshops"", and ""lremap-sub""",,,
1375,a-collection-of-papers-for-lrec2014-and-related-workshops,https://lod-cloud.net/dataset/a-collection-of-papers-for-lrec2014-and-related-workshops,A collection of Papers for LREC2014 and related Workshops,aA collection of accepted Papers at LREC2014 and related Workshops,LOD; Linguistic Dataset LOD RDF; linguistic,papers,"Warning: why three different resources for the same topic: ""lremap-auth"", ""a-collection-of-papers-for-lrec2014-and-related-workshops"", and ""lremap-sub""",,,
714,lremap-sub,https://lod-cloud.net/dataset/lremap-sub,A collection of Submissions for LREC2014 and related Workshops,The submission is the pointer to papers and to authors,LOD; Linguistic Dataset LOD RDF; linguistic,papers,"Warning: why three different resources for the same topic: ""lremap-auth"", ""a-collection-of-papers-for-lrec2014-and-related-workshops"", and ""lremap-sub""",,,
