title,keywords,description,,url,Topic,Sub classification,_id
statusnet-progval-net,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-foaf; format-pos; format-rdf; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://progval.net,,https://lod-cloud.net/dataset/statusnet-progval-net,,,statusnet-progval-net
TDS,language_description; linguistics; llod; ontology; typological-database,Typological Database System ontology,,https://lod-cloud.net/dataset/tds,unclassified,,tds
Basque EuroWordNet-lemon lexicon (3.0),EuroWordNet; lemon; lexicon; lexinfo,This is the Basque EuroWordNet-Lemon lexicon. The lexicon was created from the Spanish Word-Net-LMF lexicon which is part of the Multilingual Central Repository (MCR http://adimen.si.ehu.es/web/MCR). The lexicon conforms to the 'lemon' specification.,,https://lod-cloud.net/dataset/basque-eurowordnet-lemon-lexicon-3-0,linguistics,lexicon,basque-eurowordnet-lemon-lexicon-3-0
OBOE SBC,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,"OBOE Extension for SBC-LTERExtensible Observation Ontology for the Santa Barbara Coastal Long Term Ecological Research project (SBC-LTER). OBOE SBC extends core concepts defined in the OBOE suite that are particular to the Santa Barbara Coastal Long Term Ecological Research project's data collection activities. These include specific measurement protocols, sites, etc. This is mean as a case study ontology for the Semtools project.",,https://lod-cloud.net/dataset/bioportal-oboe-sbc,cultural heritage,cultural heritage,bioportal-oboe-sbc
Czech National Open Data Catalog in DCAT-AP v1.1,Czech Republic; czech; format-dcat; format-dcterms; format-foaf; format-skos; format-spdx; format-vcard; government; license-metadata; lod; lodcloud.nolinks; lodcloud.unconnected; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party,The catalog can be browsed at https://data.gov.cz,,https://lod-cloud.net/dataset/cz-nkod,,,cz-nkod
DBpedia in Japanese,access-api; access-bulk; access-www; crossdomain; format-foaf; format-geo; format-owl; format-rdf; format-rdfs; japanese; license-metadata; lod; lodcloud-diagram-2014-08-30; no-proprietary-vocab; provenance-metadata; published-by-producer; rdf; wikipedia,DBpedia Japanese is a part of the DBpedia internationzation effort. Datasets of DBpedia Japanese are generated from dump data of Wikipedia in Japanese and include links to other DBpedia chapters and Wordnet-ja.,,https://lod-cloud.net/dataset/dbpedia-ja,,,dbpedia-ja
LinkedGeoData,deref-vocab; format-geo; format-georss; format-rdf; geographic; lod; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; sparql,LinkedGeoData is an effort to add a spatial dimension to the Web of Data / Semantic Web. LinkedGeoData uses the information collected by the OpenStreetMap project and makes it available as an RDF knowledge base according to the Linked Data principles. It interlinks this data with other knowledge bases in the Linking Open Data initiative.,,https://lod-cloud.net/dataset/linkedgeodata,cultural heritage,,linkedgeodata
A Knowledge Organization System for the United Nations Sustainable Development Goals,Sustainable Development; SDG; United Nations,In December 2017  an informal working group led by the Department of Economic and Social Affairs and the Secretariat of the United Nations High Level Committee on Management  and composed by technical experts from across the UN System  started working on a proposal to developed a system of Internationalized Resource Identifiers (IRIs) for Sustainable Development Goals  Targets  Indicators and related statistical series to support the development of a United Nations system-wide ecosystem of machine-readable data and documents based on Linked Open Data (LOD) principles.  In order to ensure their fullest possible use  the Identifiers and a formal Statement of Adoption were presented at the second regular session of the UN System Chief Executives Board for Coordination (CEB)  in November 2019. At the CEB  the Secretary-General invited all UN organizations to use them to map their SDG-related resources and sign the Statement.  Unique Identifiers for the sustainable development goals  targets and indicators  The system of Internationalized Resource Identifiers (IRIs) for Sustainable Development Goals  Targets  Indicators and related statistical series is now part of the Semantic Web infrastructure that the UN Dag Hammarskjold Library makes available to IT developers and the public at large under http://metadata.un.org/sdg/?lang=en.  It formalizes links between the goals  targets  indicators and series  and two other crucial elements in the Linked Open Data infrastructure maintained by the United Nation System  namely: (1) the UN Bibliographic Information System maintained by the UN Dag Hammarskjold Library  and (2) the SDG Interface Ontology  maintained by UN Environment.   The identifiers allow the use of Semantic Web technologies to:  •             Provide a web-based mechanism to make SDG-related data and information assets accessible  inter-operable and re-usable   •             Organically discover relevant and authoritative SDG data and information among the multitude of available sources on the web  •             Enable the development of applications that integrate authoritative data  concepts and definitions from a large number of formerly unknown sources.  Metadata about the SDG Ontology/KOS in a machine-accessible VoID/LIME file is available at http://metadata.un.org/sdg/void.ttl,,https://lod-cloud.net/dataset/SDG,cultural heritage,,SDG0000019242367ae8
Fungal gross anatomy,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,A structured controlled vocabulary for the anatomy of fungi.,,https://lod-cloud.net/dataset/bioportal-fao,health,Zology,bioportal-fao
Bio2RDF::Taxonomy,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,The NCBI taxonomy database contains the names of all organisms that are represented in the genetic databases with at least one nucleotide or protein sequence.,,https://lod-cloud.net/dataset/bio2rdf-taxonomy,health,Genetics,bio2rdf-taxonomy
