Unnamed: 0,_id,url,title,description,keywords,Mariangela_topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED,Gabriele_topic,Sana_topic
815,2000-us-census-rdf,https://lod-cloud.net/dataset/2000-us-census-rdf,2000 U.S. Census in RDF (rdfabout.com),2000 U.S. Census converted into over a billion RDF triples.    Population statistics at various geographic levels  from the U.S. as a whole  down through states  counties  sub-counties (roughly  cities and incorporated towns)    Notes: also found in the of SPARQL Endpoints.    From home page:    > * For the detailed Census statistics  you'll have to download the raw Census data files from the Census Bureau  my Perl script and the patch file below and run it yourself because the files are too big for me to offer as a download!  >   > * The data and scripts can be reused under Creative Commons Attribution-NonCommercial-ShareAlike.,census; data; demographics; deref-vocab; format-dc; format-geonames; format-politico; format-rdf; geographic; linkeddata; lod; lodcloud-diagram-2007-05-01; lodcloud-diagram-2011-09-19; lodcloud.nolinks; no-license-metadata; no-provenance-metadata; no-vocab-mappings; population; published-by-third-party; rdf; statistics; us,"not classified - geography, government",,demographic census,,,,cultural heritage
1498,2001-spanish-census-to-rdf,https://lod-cloud.net/dataset/2001-spanish-census-to-rdf,2001 Spanish Census to RDF,This site offers information of the conversion process of a 5% sampling of the 2001 Spanish census from a plain useless format to RDF  a semantic representation supported by different products  services and protocols.,census; government; linked-open-data; lod; rdf; sparql-endpoint,"not classified - geography, government",,,,,,cultural heritage
1400,AIM0000018f29a83ba9,https://lod-cloud.net/dataset/AIM,Analytics India Magazine,Analytics India Magazine (AIM) is a digital publication established in 2012  based in Bengaluru  India. It specializes in the domain of analytics  artificial intelligence  data science  and big data  providing a platform for deep technical knowledge and insights into the broader implications of technological advancements. AIM features a variety of content including articles  interviews  news  events  and research. It also supports a job portal specifically targeted at the analytics sector. The magazine has a substantial following and is recognized for its contribution to the analytics and technology community in India,AIM,not classified,,magazine,,,education,cultural heritage
746,ASCDC-AS-TFD-Fish-Species,https://lod-cloud.net/dataset/ASCDC-AS-TFD-Fish-Species,Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species),The LOD dataset of ASCDC_Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Taiwan fauna database research: Taiwan digital fish species database” (臺灣動物相典藏之研究：臺灣魚類相之數位典藏) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=17509). Originally  the metadata was established by the Biodiversity Research Center  Academia Sinica (中央研究院生物多樣性研究中心) in Taiwan (ROC). It provides information on the fish species data collected by the Biodiversity Research Center at the Academia Sinica and can serve as database for the study of fish species in the coastal waters in and around the Taiwan Island. Containing 41 861 data records and 1 477 259 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Biology; Aquatic Animals; Fishes; Specimen; Taiwan; Biodiversity Research Center; Academia Sinica; Taiwan Union Catalog,cultural heritage,biodiversity,,,,cultural heritage,Healthcare
164,ASCDC-CTS-TV-Programs,https://lod-cloud.net/dataset/ASCDC-CTS-TV-Programs,The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs),The LOD dataset of ASCDC_The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Chinese Television System Educational and Cultural Programs Digital Archive” (華視教育文化節目之數位典藏) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=61756). Originally  the metadata was established by the Multimedia & Game Science Department at the Lunghwa University of Science and Technology (龍華科技大學多媒體與遊戲發展科學系). The data includes collections of digital information about 5 educational and cultural programs  such as Nature Classroom  One Word a Day  Voices of the Hokkien  Harvest Season and Hometown Yearnings  which were produced by the Chinese Television System (CTS) in the 1980s. Containing 726 data records and 31 711 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-ND.,ASCDC; Media; Video-clips; Chinese Television System; Television Programs; Education; Culture; Lunghwa University of Science and Technology; Taiwan Union Catalog,education,it is not related to CH to me,,,yes,cultural heritage,intangible
273,ASCDC-DQOT,https://lod-cloud.net/dataset/ASCDC-DQOT,Database of Qing Official Titles (DQOT),The LOD dataset of ASCDC_Database of Qing Official Titles (DQOT) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the online “Database of Qing Official Titles” (清代職官資料庫  https://newarchive.ihp.sinica.edu.tw/officerc/officerkm2?@@0.21081762485249556)  which was established and maintained by the Institute of History and Philology  Academia Sinica  Taipei  Taiwan (ROC). The data includes titles of the official positions in the Qing dynasty (1644-1911) and their detailed information  which can serve as authority files or controlled vocabularies for official positions in the study of Chinese history. Containing 6 846 data records and 164 733 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC BY).,ASCDC; Chinese History; History; Qing Dynasty; Qing Official Titles; Academia Sinica; Institute of History and Philology,cultural heritage,from title-abstract-keywords,,,,cultural heritage,Education
981,ASCDC-IHP-WCD,https://lod-cloud.net/dataset/ASCDC-IHP-WCD,Database of the Han Wooden Slips Character Dictionary (WCD),The LOD dataset of ASCDC_Database of the Han Wooden Slips Character Dictionary (WCD) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Han Wooden Slips Character Dictionary” (簡牘字典―史語所藏居延漢簡資料庫  https://wcd-ihp.ascdc.sinica.edu.tw/woodslip/)  which was established and maintained by the Institute of History and Philology  Academia Sinica  Taipei  Taiwan (ROC). The data includes information on the archaeological objects of Han Wooden Slips  which were created in the Han dynasty (206 B.C.-220 A.D.) and excavated in the early 1930s during the Sino-Swedish Scientific Expedition. The data can serve as a profound source for the digital study of ancient Chinese history. Containing 207 data records and 143 264 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized images are under CC-BY-NC-ND 3.0.,ASCDC; Chinese History; Wooden Slips; Han Dynasty; Chinese Characters; Academia Sinica; Institute of History and Philology,cultural heritage,abstract and keywords refer to ancient chinese history,,,,cultural heritage,Education
211,ASCDC-NMMBA-Fish-Otoliths,https://lod-cloud.net/dataset/ASCDC-NMMBA-Fish-Otoliths,The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths),The LOD dataset of ASCDC_The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Digital Collection of Taiwan's Fish Otoliths” (國立海洋生物博物館台灣耳石典藏計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=57275). Originally  the metadata was established by the National Museum of Marine Biology and Aquarium (NMMBA  國立海洋生物博物館) in Taiwan (ROC). It provides information on specimens of fish otoliths collected by the NMMBA and can serve as a database for the study of fish species in the coastal waters in and around Taiwan. Containing 1 804 data records and 191 464 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Biology; Aquatic Animals; Fishes; Otoliths; Specimen; Taiwan; National Museum of Marine Biology and Aquarium; Taiwan Union Catalog,cultural heritage,,,,,cultural heritage,Healthcare
921,ASCDC-Qing-Secret-Societies000001926f32dacb,https://lod-cloud.net/dataset/ASCDC-Qing-Secret-Societies,Dataset of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan),The LOD dataset of ASCDC_Database of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan) is created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the research project of the “The Secret Societies in Qing Dynasty” (清代檔案與數位人文研究──以官方查辦民間教門為核心). From 2022 to 2025  this project is funded by the National Science and Technology Council in Taiwan (NSTC 112-2423-H-001-002). The dataset is established and maintained by ASCDC at Academia Sinica in Taipei  Taiwan (ROC). The data includes the archives  persons  religious sects  sect events and place names related to the Chinese secret societies in the Jiaqing era (1796-1820)  which can be served as authority files or controlled vocabularies for the study of the Chinese history. In particular  the data triples of the sect event of the Shifokou Wang’s Clan (石佛口王姓教案) will be focused in this dataset. Containing 8 810 data triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC BY).,ASCDC; Chinese History; History; Qing Dynasty; Archives; Religion; Secret Societies; Academia Sinica; Institute of History and Philology,cultural heritage,from title-abstract-keywords,,,,cultural heritage,Education
1521,ASCDC-Tibetan-Audio-Archive000001911262acf0,https://lod-cloud.net/dataset/ASCDC-Tibetan-Audio-Archive,The Tibetan Collection Audio Archive Research Project (Tibetan Audio Archive),The LOD dataset of ASCDC_The Tibetan Collection Audio Archive Research Project (Tibetan Audio Archive) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Tibetan Collection Audio Archive Research Project” (西藏珍藏語音檔案研究計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=38949). Originally  the metadata was established by the Dharma Drum Institute of Liberal Arts (法鼓文理學院). The audio archive includes information on sound recordings of Buddhist preaching in the Tibetan language. Containing 1 962 data records and 112 628 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under the Open Government Data License  version 1.0 (CC BY).,ASCDC; Media; Audio Recordings; Religion; Tibet; Buddhism; Dharma Drum Institute of Liberal Arts; Taiwan Union Catalog,cultural heritage,it mentions art in the abstract,multimedia,yes,,cultural heritage,
1159,ASCDC_-_CCP_Archive,https://lod-cloud.net/dataset/ASCDC_-_CCP_Archive,"Dataset of the Chen Cheng-po’s Paintings and Documents (CCP) in the Taiwan Archive Information System (TAIS- ITH/ASCDC) at the Institute of Taiwan History, Academia Sinica",The LOD dataset of the archive of “Chen Cheng-po’s Paintings and Documents” (陳澄波畫作與文書檔) in the Taiwan Archive Information System at the Institute of Taiwan History (ITH)  Academia Sinica was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the online database of the “Taiwan Archive Information System” (臺灣史檔案資源系統  http://tais.ith.sinica.edu.tw/sinicafrsFront/browsingLevel1.jsp?xmlId=0000283891)  which was established and maintained by the Institute of Taiwan History  Academia Sinica  in Taipei  Taiwan (ROC). The data includes hierarchically structured archival resources and is focused on the creations of Chen Cheng-po  such as his works  personal objects and collections of books  collages  postcards  etc. related to his personal life. Containing 1 522 data records and 44 647 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC0).,ASCDC; Chen Cheng-po; Archives; Art History; Taiwan; Paintings; Academia Sinica; Arts,cultural heritage,"paintings in the title, confirmed by the abstract and keywords",,,,cultural heritage,education
371,Anime,https://lod-cloud.net/dataset/Anime,Anime Dataset,We are using an Anime Dataset to get information about our favorite anime. Anime is computer generated Animation originating from Japan. Our Dataset contains unique identifiers for each Anime. Title of the anime  Synopsis of the Anime which is the brief summary of the anime. The Genre of the anime  along with the Air Date of the Anime no. Episodes  members  popularity  ranking  score  image_url and Anime link on the most famous Anime Website MyAnimeList.com.,,not classified,anime,,,,,cultural heritage
1626,AugustiniConfessiones0000018b24223bd5,https://lod-cloud.net/dataset/AugustiniConfessiones,Augustini Confessiones in LiLa,The Confessiones are a prose work in 13 books by Augustine of Hippo written in the 4th century AD. It contains autobiographical narrative and meditations on religious matters  which become prevalent in the last books (X-XIII). The digital text is taken from The Latin Library. The original text was lemmatized and PoS tagged with the UDPipe tool  using an in-house built trained model based on different UD Latin treebanks. The output of UDPipe was then checked manually at the CIRCSE Research Centre of the Università Cattolica del Sacro Cuore  Milan  Italy. The linking of the text to the Lemma Bank of the LiLa Knowledge Base was performed at CIRCSE  too.,Latin; Corpus; LLOD; LiLa; Augustinus,linguistic,"from title, abstract, keyword",,,,linguistic,cultural heritage
1379,BVMC,https://lod-cloud.net/dataset/BVMC,Biblioteca Virtual Miguel de Cervantes,The catalogue of the Biblioteca Virtual Miguel de Cervantes contains about 200 000 records which were originally created in compliance with the MARC21 standard.  The database content has been later mapped to RDF triples which employ mainly the RDA vocabulary (Resource Description and Access) to describe the entities  as well as their properties and relationships.,Miguel de Cervantes; Library LOD,cultural heritage,,,,,cultural heritage,
904,Biop,https://lod-cloud.net/dataset/Biop,Covid19 Impact on Banking ontology (Covid19-IBO 1.5),Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,,health,from title-abstract-keywords,,,,health,cultural heritage
873,Bioportal_link,https://lod-cloud.net/dataset/Bioportal_link,Indian Terrorism Ontology (InTO),Creating the largest comprehensive knowledge base of terrorism and related activities  people and agencies involved  and extremist movements; and providing a platform to the society  the government  and the military personnel in order to combat the evolving threat of the global menace of terrorism.,,not classified,,,,,,cultural heritage
584,CPC,https://lod-cloud.net/dataset/CPC,Cooperative Patent Classification,"This data set contains the Cooperative Patent Classification scheme. It is a hierarchical ontology with skos:narrower and skos:broader relations between its about 250 000 nodes (aka ""CPC symbols"") covering the complete technical domain. It is a refinement of the older International Patent Classification (IPC). CPC is used by major patent offices to classify patent documents. For more details see https://www.cooperativepatentclassification.org/",Patent Classification; CPC; Cooperative Patent Classification; IPC; International Patent Classification,SLR,patents from title and abstract,,,,,cultural heritage
1387,Chinese_Red_Classic_Song_Linked_Data_Dataset,https://lod-cloud.net/dataset/Chinese_Red_Classic_Song_Linked_Data_Dataset,Chinese Red Song Linked Data Dataset,Red songs are precious historical materials  reflecting the face of Chinese people in a specific historical period  praising the glorious achievements of the party and the motherland  praising the noble spirit of the people of all ethnic groups who are not afraid of hardships and hard struggle  and expressing their yearning for their hometown. At the same time  many songs reflect the historical events experienced by the party and the state in the development process  and praise a large number of proletarian revolutionaries and ordinary workers who have made great contributions to the prosperity of the country and the happiness of the people. At the same time  it attacked the oppression of imperialism and feudalism. These are still worth learning.,Red Classic Song Chinese History-event Figure Imagery,cultural heritage,song and historical materials are cited in the description,,,,cultural heritage,
