Unnamed: 0,_id,url,title,description,keywords,Mariangela_topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED,Gabriele_topic,Sana_topic
746,ASCDC-AS-TFD-Fish-Species,https://lod-cloud.net/dataset/ASCDC-AS-TFD-Fish-Species,Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species),The LOD dataset of ASCDC_Taiwan Fauna Database Research: Taiwan Digital Fish Species Database (AS-TFD-Fish-Species) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Taiwan fauna database research: Taiwan digital fish species database” (臺灣動物相典藏之研究：臺灣魚類相之數位典藏) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=17509). Originally  the metadata was established by the Biodiversity Research Center  Academia Sinica (中央研究院生物多樣性研究中心) in Taiwan (ROC). It provides information on the fish species data collected by the Biodiversity Research Center at the Academia Sinica and can serve as database for the study of fish species in the coastal waters in and around the Taiwan Island. Containing 41 861 data records and 1 477 259 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Biology; Aquatic Animals; Fishes; Specimen; Taiwan; Biodiversity Research Center; Academia Sinica; Taiwan Union Catalog,cultural heritage,biodiversity,,,,cultural heritage,health
211,ASCDC-NMMBA-Fish-Otoliths,https://lod-cloud.net/dataset/ASCDC-NMMBA-Fish-Otoliths,The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths),The LOD dataset of ASCDC_The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Digital Collection of Taiwan's Fish Otoliths” (國立海洋生物博物館台灣耳石典藏計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=57275). Originally  the metadata was established by the National Museum of Marine Biology and Aquarium (NMMBA  國立海洋生物博物館) in Taiwan (ROC). It provides information on specimens of fish otoliths collected by the NMMBA and can serve as a database for the study of fish species in the coastal waters in and around Taiwan. Containing 1 804 data records and 191 464 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-SA.,ASCDC; Biology; Aquatic Animals; Fishes; Otoliths; Specimen; Taiwan; National Museum of Marine Biology and Aquarium; Taiwan Union Catalog,cultural heritage,,,,,cultural heritage,health
904,Biop,https://lod-cloud.net/dataset/Biop,Covid19 Impact on Banking ontology (Covid19-IBO 1.5),Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,,health,from title-abstract-keywords,,,,health,cultural heritage
537,Bioportal,https://lod-cloud.net/dataset/Bioportal,Covid19 Impact on Banking ontology (Covid19-IBO),Covid19 Impact on Banking Ontology (Covid19-IBO) provides semantic information about the impact of the Covid-19 on the banking sector of India,Covid19; banking; disease; person,health,from title-abstract-keywords,,,,health,SLR
813,Catch_Record_(2014-_2019),https://lod-cloud.net/dataset/Catch_Record_(2014-_2019),Norway catch records dataset @PSNC,Catch records data from Norway (2014-2019)  transformed and published as Linked Data. The source data is in CSV format which has been processed  transformed and published as Linked Data  enabling their integration with other datasets in the LOD datasets. The catch record data involves the catch amount in tonnes for each year  along with the species caught and vessel and fishermen data. fishing regions and catch area data is also included in the respective years in the dataset. The dataset is already linked with some of these datasets  including FAO species  FAO fishing areas  and the ISO-3166 standard codes. The source CSV files can be found in https://www.fiskeridir.no/Tall-og-analyse/AApne-data/AApne-datasett/Fangstdata-koblet-med-fartoeydata.,,not classified - government,,,,,,health
337,CoLChina_sp20000000019348ff2263,https://lod-cloud.net/dataset/CoLChina_sp2000,Catalogue of Life in China 2003 Edition,The Catalogue of Life in China 2023 edition includes a total of 148 637 species and 22 468 genus. Following the data standards of Species 2000  each species in the list contains data on scientific names  synonyms  aliases  literature  taxonomic systems  distribution areas  Chinese names  etc. The Catalogue of Life in China 2023 edition was released by the Institute of Zoology  Chinese Academy of Sciences (CAS)  which is a research institution focusing on zoological studies. It maintains rich data resources  covering the following aspects：Species databases  Specimen and specimen collection data Ecological monitoring data  Genetic information and genomic data Literature and publications.,,"health, cultural heritage",natural heritage for the presence of species,,yes,,cultural heritage,health
1348,Covid-on-the-Web,https://lod-cloud.net/dataset/Covid-on-the-Web,Covid-on-the-Web Dataset,Covid-on-the-Web Dataset is an RDF dataset that provides two main knowledge graphs produced by analyzing the scholarly articles of the COVID-19 Open Research Dataset (CORD-19  https://www.semanticscholar.org/cord19)  a resource of articles about COVID-19 and the coronavirus family of viruses:  (1) the CORD-19 Named Entities Knowledge Graph describes named entities identified and disambiguated by NCBO BioPortal annotator  Entity-fishing and DBpedia Spotlight. (2) the CORD-19 Argumentative Knowledge Graph describes argumentative components and PICO elements extracted from the articles by the Argumentative Clinical Trial Analysis platform (ACTA).  A description of the dataset  in the Turtle format  as well as examples are provided in https://github.com/Wimmics/CovidOnTheWeb/tree/master/dataset.  Covid-on-the-Web Dataset is an initiative of the Wimmics team  I3S laboratory  University Côte d'Azur  Inria  CNRS.,annotation; coronavirus; NER; cord19; covid19; literature; named entity; named entity recognition; argumentation theory; argument mining,health,from title-abstract-keywords,,,,health,Education
205,FAO_species,https://lod-cloud.net/dataset/FAO_species,FAO ASFIS classification of biological entities @PSNC,Taxonomic classification of biological entities  data is maintained in ASFIS  by FAO. This model implements the ontology design patterns for taxonomic classifications. See http://ontologydesignpatterns.org. This ontology has been made for testing purposes and should not be used as official expressions of any of the classifications systems modelled.  Source: NeOn project  creator: Caterina Caracciolo  KCEW - FA,,health,biological mentioned in title and abstract. ontology,,,,,
418,FHIR_STU3,https://lod-cloud.net/dataset/FHIR_STU3,FHIR STU3,FHIR STU3,,health,"unclear from title, abstract, keywords. from the website it seems to be related to health",,,,ND,unclassified
134,Generalized_Super_Ontology,https://lod-cloud.net/dataset/Generalized_Super_Ontology,health,Concept of realityUpper OntologyEHCPRSuper OntologyLivingMatterSpaceTimeMedium of restMedium of motion.,Concept of realityUpper OntologyEHCPRSuper OntologyLivingMatterSpaceTimeMedium of restMedium of motion.,health,health in the title,,,,,
