_id,title,description,keywords,url,topic,sub-topic,fields that guide decision,ontology,discussed,Gabriele_topic,Maria_Angela_topic
ASCDC-CTS-TV-Programs,The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs),The LOD dataset of ASCDC_The Chinese Television System Educational and Cultural Programs Digital Archive (CTS-TV-Programs) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Chinese Television System Educational and Cultural Programs Digital Archive” (華視教育文化節目之數位典藏) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄  https://catalog.digitalarchives.tw/Organization/List.jsp?CID=61756). Originally  the metadata was established by the Multimedia & Game Science Department at the Lunghwa University of Science and Technology (龍華科技大學多媒體與遊戲發展科學系). The data includes collections of digital information about 5 educational and cultural programs  such as Nature Classroom  One Word a Day  Voices of the Hokkien  Harvest Season and Hometown Yearnings  which were produced by the Chinese Television System (CTS) in the 1980s. Containing 726 data records and 31 711 triples  the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0)  while the digitized items are under CC-BY-NC-ND.,ASCDC; Media; Video-clips; Chinese Television System; Television Programs; Education; Culture; Lunghwa University of Science and Technology; Taiwan Union Catalog,https://lod-cloud.net/dataset/ASCDC-CTS-TV-Programs,cultural heritage,intangible,DESC,NO,,cultural heritage,education
CoDa,Cooperation Databank,An annotated history of empirical studies on human cooperation in social dilemmas. Social Dilemmas are situations that involve a conflict of interests and people must choose between a behavior that is best for themselves and a behavior that is best for the collective. Cooperation is choosing to do a behavior that is best for the collective. CoDa contains six decades of studies on individual decision making in dyads and groups facing social dilemmas.The databank contains studies on human cooperation published in Chinese  English  and Japanese. Experts annotated these studies for 275 variables  including the quantitative results (effect sizes). We developed an ontology that defines and relates concepts in cooperation research and that can represent the relationships between individual study results. We have created an application that allows users to search the databank  and enables users to retrieve studies that test the relation of variables with cooperation  visualize these study results  and perform (1) meta-analyses  (2) meta-regressions  (3) estimates of publication bias  and (4) statistical power analyses for future studies.,Psychology; Sociology; Economics; Cooperation research; Prisoner's dilemma; Public Goods Game; Resource Dilemma; social dilemmas,https://lod-cloud.net/dataset/CoDa,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
CoLChina_sp20000000019348ff2263,Catalogue of Life in China 2003 Edition,The Catalogue of Life in China 2023 edition includes a total of 148 637 species and 22 468 genus. Following the data standards of Species 2000  each species in the list contains data on scientific names  synonyms  aliases  literature  taxonomic systems  distribution areas  Chinese names  etc. The Catalogue of Life in China 2023 edition was released by the Institute of Zoology  Chinese Academy of Sciences (CAS)  which is a research institution focusing on zoological studies. It maintains rich data resources  covering the following aspects：Species databases  Specimen and specimen collection data Ecological monitoring data  Genetic information and genomic data Literature and publications.,,https://lod-cloud.net/dataset/CoLChina_sp2000,cultural heritage,natural,DESC,NO,,cultural heritage,"health, cultural heritage"
Copyright_Free_Music00000193a96f29dc,Copyright Free Music,Royalty Free Music & Copyright Free Music ✔️ Unlimited Downloads Search 100% Claim-Free ☝ royalty free music & copyright free music for ⭐ youtube  games  commercial use;Unlimited Downloads tracks from our library,music; copyright free music; royalty free music,https://lod-cloud.net/dataset/Copyright_Free_Music,cultural heritage,intangible,DESC,NO,,cultural heritage,DOUBT
ISSN:0080-3626,Pierwszy polski podręcznik bibliotekarski,praca poświęcona przedstawieniu i omówieniu poglądów i spostrzeżeń Joachima Lelewela zawartych w pracach poświęconych bibliotekarstwu,,https://lod-cloud.net/dataset/ISSN:0080-3626,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified
Inztrow,Inztrow,Artist/Producer,Music; Media; hiphop; instrumentals; funk; jazz,https://lod-cloud.net/dataset/Inztrow,cultural heritage,intangible,KEYWORDS,NO,,cultural heritage,
Kronika_naukowa_Biblioteki_Jagiellońskiej,Kronika naukowa Biblioteki Uniwersyteckiej w Łodzi,Kronika,,https://lod-cloud.net/dataset/Kronika_naukowa_Biblioteki_Jagiellońskiej,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified
LucaniPharsalia0000018ae110f661,Lucani Pharsalia in LiLa,The Pharsalia is an epic poem in 10 books written by Lucan in 1st century AD. It portrays the civil war between Caesar and the Senate's forces  led by Pompey. The digital text of the 10 books of the Pharsalia by Lucan is taken from Perseus collection. The original text was lemmatized and PoS tagged with the UDPipe tool  using an in-house built trained model based on different UD Latin treebanks. The output of UDPipe was then checked manually at the CIRCSE Research Centre of the Università Cattolica del Sacro Cuore  Milan  Italy. The linking of the text to the Lemma Bank of the LiLa Knowledge Base was also performed at CIRCSE.,Latin; LLOD; LiLa; Corpus; Lucanus,https://lod-cloud.net/dataset/LucaniPharsalia,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,"linguistic, cultural heritage"
Querolus0000018ae126f0e5,Querolus in LiLa,The text of Querolus  an anonymous Latin comedy dating back to V century AD  linked to the LiLa Knowledge Base.,Latin; Corpus; LLOD; LiLa,https://lod-cloud.net/dataset/Querolus,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,linguistic
SCBG-Data0000018bcbdc28f5,SCBG Data,"South China Botanical Garden of the Chinese Academy of Sciences  formerly known as the National Sun Yat-sen University Institute of Agricultural and Forestry Botany  by the famous botanist Chen Huanyong academician founded in 1929. On May 30  2022  the State Council approved the establishment of the South China National Botanical Garden based on the South China Botanical Garden of the Chinese Academy of Sciences. The whole garden consists of three parks. Guangdong Botanical Journal Electronic Edition 92 027 Triples The dataset is compiled by the Key Laboratory of Data Botanical Garden of Guangdong Province through the electronic ""Guangdong Botanical Record""  including Latin name  Chinese name  family and genus information  plant description  distribution  origin  and use  and then collated  audited  and analyzed  and standardized the plant name information  processed the geographic location information  and added the geographic coordinate information  in order to achieve the data standard associated with other data  and to share the data free of charge. Dongguan Forest Economy Plant List 8 285 Triples On the basis of a comprehensive survey of Dongguan's municipal area  735 species of new and superior understory economic plants in Guangdong Province were collected  listing the botanical names  Latin names  families  genera  uses  and so on. China Energy Plant Dataset 57 099 Triples The South China Botanical Garden  part of the Chinese Academy of Sciences  has gathered valuable scientific data resources over 50 years  particularly through the ""Scientific and Technological Fundamental Special Project - Survey  Collection  and Preservation of Non-food Diesel Energy Plants and Related Microbial Resources."" This data is essential for establishing China's non-food biodiesel feedstock plant feasibility system and oil utility standards. It will play a pivotal role in identifying high-quality energy plant resources  ensuring energy security  and supporting China's economic and environmental goals.",Species; Classification; kingdom; Phylum; class; order; Family; Genus,https://lod-cloud.net/dataset/SCBG-Data,,,,NO,,,cultural heritage
SDDEC0000018e116dda4a,Simulation of desertification dynamics in Ordos City from 2000 to 2030 with coupled natural-human factors,Simulation of desertification dynamics in Ordos City from 2000 to 2030 with coupled natural-human factors,,https://lod-cloud.net/dataset/SDDEC,cultural heritage,natural,DESC,NO,,cultural heritage,not classified
Sherry_Wine,Sherry Wine Vocabulary,Vocabulary about Sherry Wine,,https://lod-cloud.net/dataset/Sherry_Wine,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
